date,open,high,low,close,volume,average,barCount
2025-01-31,10586.0,10682.0,10167.0,10570.0,3071.0,10434.7,2770
2025-02-03,10578.0,10875.0,10393.0,10616.0,1450.0,10654.0,1435
2025-02-04,10626.0,10735.0,10356.0,10600.0,1221.0,10595.5,1176
2025-02-05,10497.0,10567.0,10191.0,10290.0,1262.0,10355.9,1239
2025-02-06,10238.0,10243.0,9686.0,9895.0,2428.0,9908.2,2382
2025-02-07,9821.0,10094.0,9403.0,9846.0,3727.0,9669.6,3581
2025-02-10,9688.0,9831.0,9534.0,9663.0,2817.0,9679.9,2717
2025-02-11,9728.0,10098.0,9668.0,10080.0,1946.0,9945.8,1879
2025-02-12,10049.0,10204.0,9827.0,9920.0,1620.0,9980.8,1554
2025-02-13,9989.0,10366.0,9983.0,10302.0,1969.0,10173.9,1938
2025-02-14,10330.0,10455.0,10049.0,10121.0,1929.0,10225.0,1875
2025-02-18,10071.0,10298.0,10006.0,10270.0,2302.0,10204.8,2230
2025-02-19,10232.0,10298.0,10083.0,10177.0,1172.0,10182.6,1103
2025-02-20,10133.0,10200.0,10018.0,10069.0,1909.0,10090.3,1860
2025-02-21,10075.0,10102.0,9025.0,9040.0,7015.0,9374.1,6740
2025-02-24,9235.0,9337.0,8207.0,8374.0,5136.0,8685.9,4941
2025-02-25,8342.0,8671.0,8235.0,8648.0,3629.0,8495.3,3418
2025-02-26,8603.0,9160.0,8581.0,9084.0,1616.0,8970.9,1546
2025-02-27,9068.0,9183.0,8772.0,9105.0,1244.0,8953.5,1203
2025-02-28,9138.0,9144.0,8654.0,8991.0,1771.0,8917.0,1717
2025-03-03,8843.0,8843.0,8040.0,8140.0,3894.0,8291.1,3782
2025-03-04,7932.0,8574.0,7776.0,8349.0,5668.0,8181.9,5498
2025-03-05,8530.0,8740.0,8036.0,8119.0,2842.0,8360.0,2721
2025-03-06,8057.0,8349.0,7975.0,8204.0,2899.0,8193.3,2798
2025-03-07,8185.0,8661.0,8166.0,8301.0,2686.0,8404.1,2652
2025-03-10,8123.0,8488.0,7857.0,8420.0,3130.0,8204.0,2977
2025-03-11,8240.0,8427.0,8108.0,8300.0,1930.0,8288.6,1887
2025-03-12,8299.0,8431.0,8206.0,8344.0,1708.0,8317.0,1654
2025-03-13,8340.0,8557.0,8123.0,8154.0,2578.0,8321.5,2436
2025-03-14,8164.0,8195.0,7760.0,7863.0,3190.0,7906.1,3128
2025-03-17,7878.0,8016.0,7783.0,7852.0,1938.0,7884.0,1894
